OBJECTID,GEOID,ZONE_CODE,COUNT,AREA,MEAN
269,42101000901,274,116,104400,34.76679046
270,42101000804,275,162,145800,33.56617869
271,42101001202,276,343,308700,34.59994089
272,42101003600,277,1072,964800,35.89237449
273,42101003701,278,394,354600,37.41363293
274,42101003702,279,274,246600,36.34517675
275,42101004101,280,416,374400,36.17743881
276,42101004002,281,383,344700,35.25562671
277,42101003902,282,503,452700,34.85203713
278,42101004001,283,350,315000,35.66349714
279,42101004102,284,436,392400,36.42040421
280,42101004202,285,503,452700,36.23879544
281,42101004201,286,403,362700,36.31812175
282,42101005000,287,8716,7844400,30.66051616
283,42101029400,288,715,643500,35.80846387
284,42101029800,289,718,646200,34.63520911
285,42101029900,290,657,591300,33.98379382
286,42101030000,291,1015,913500,34.43125971
287,42101030100,292,806,725400,32.90282116
288,42101030200,293,1002,901800,33.72526191
289,42101030600,294,1118,1006200,34.00058052
290,42101030700,295,722,649800,34.36285815
291,42101030800,296,888,799200,33.4474764
292,42101030900,297,717,645300,33.67134356
293,42101031000,298,1183,1064700,33.82090389
294,42101031200,299,478,430200,34.55522098
295,42101001201,300,400,360000,33.26883804
296,42101000803,301,170,153000,32.456066
297,42101980900,302,22970,20673000,32.54856806
298,42101002702,303,407,366300,35.57465829
299,42101003002,304,250,225000,36.42248254
300,42101003001,305,253,227700,36.38539033
301,42101002802,306,404,363600,36.00816285
302,42101980700,307,8534,7680600,34.02710116
303,42101002701,308,251,225900,36.20791796
304,42101980600,309,1429,1286100,36.99796113
305,42101033701,310,1086,977400,33.50584015
306,42101033702,311,1172,1054800,32.73264227
307,42101017201,312,291,261900,37.37167474
308,42101005400,313,2643,2378700,29.24404722
309,42101005500,314,1309,1178100,33.96118919
310,42101005600,315,933,839700,33.74058911
311,42101006000,316,1210,1089000,36.06384161
312,42101006100,317,594,534600,36.30265037
313,42101006200,318,565,508500,36.46934636
314,42101006300,319,616,554400,35.49456034
315,42101006400,320,736,662400,33.74588158
316,42101031300,321,789,710100,34.47383619
317,42101031600,322,795,715500,34.58518658
318,42101031700,323,978,880200,33.66479679
319,42101031800,324,513,461700,34.10571021
320,42101031900,325,854,768600,32.38902143
321,42101032000,326,758,682200,33.77481607
322,42101032100,327,617,555300,33.86657191
323,42101032300,328,665,598500,33.60185258
324,42101032500,329,931,837900,33.20429526
325,42101032600,330,901,810900,33.75989755
326,42101989100,331,4785,4306500,29.46520626
327,42101017202,332,320,288000,37.10046329
328,42101027401,333,363,326700,35.46295771
329,42101020101,334,538,484200,34.93307745
330,42101020102,335,414,372600,36.34302959
331,42101031101,336,389,350100,35.28547445
332,42101031102,337,438,394200,34.36687989
333,42101019502,338,415,373500,36.36288504
334,42101019501,339,438,394200,36.73850616
335,42101028901,340,666,599400,34.2770378
336,42101028902,341,864,777600,32.505078
337,42101033101,342,540,486000,34.33056234
338,42101033102,343,797,717300,32.85326758
339,42101031501,344,651,585900,34.04401718
340,42101030501,345,418,376200,35.426433
341,42101030502,346,776,698400,33.70703196
342,42101006500,347,1261,1134900,31.8698102
343,42101006600,348,724,651600,35.60904866
344,42101006700,349,1110,999000,35.04117324
345,42101006900,350,898,808200,31.8002788
346,42101007000,351,521,468900,37.11511676
347,42101007200,352,560,504000,36.56155717
348,42101007300,353,427,384300,36.38209366
349,42101007400,354,751,675900,36.08501559
350,42101007700,355,354,318600,33.21405331
351,42101007800,356,476,428400,33.63788714
352,42101007900,357,418,376200,33.79767788
353,42101008000,358,480,432000,36.27970473
354,42101032900,359,1052,946800,33.17090908
355,42101033000,360,815,733500,34.80976083
356,42101033200,361,919,827100,32.56334808
357,42101033300,362,1114,1002600,33.60759484
358,42101033400,363,1351,1215900,34.44761101
359,42101033500,364,1045,940500,34.78998953
360,42101033600,365,1281,1152900,34.05726887
361,42101033800,366,1555,1399500,33.4732929
362,42101033900,367,1268,1141200,32.61670889
363,42101034000,368,848,763200,32.76886965
364,42101034100,369,1479,1331100,33.63072028
365,42101031502,370,642,577800,34.21447692
366,42101031401,371,661,594900,34.40514541
367,42101031402,372,627,564300,34.14670126
368,42101016701,373,282,253800,36.52703251
369,42101016702,374,396,356400,36.6423356
370,42101027901,375,469,422100,35.5033272
371,42101027902,376,975,877500,32.18016567
372,42101008101,377,268,241200,37.26456839
373,42101007102,378,462,415800,36.86468638
374,42101008802,379,435,391500,34.31857117
375,42101008702,380,319,287100,34.42636089
376,42101008701,381,286,257400,34.22916951
377,42101008102,382,404,363600,37.94417338
378,42101008602,383,410,369000,35.75205272
379,42101037500,384,1152,1036800,30.98873568
